学籍番号,回答
b0001,2
b0002,5
b0003,2
b0004,3
b0005,3
b0006,4
b0007,2
b0008,2
b0009,4
b0010,1
b0011,3
b0012,2
b0013,5
b0014,4
b0015,3
b0016,3
b0017,1
b0018,5
b0019,4
b0020,5
b0021,4
b0022,3
b0023,1
b0024,2
b0025,3
b0026,3
b0027,5
b0028,2
b0029,3
b0030,4
b0031,1
b0032,4
b0033,4
b0034,2
b0035,3
b0036,2
b0037,4
b0038,3
b0039,1
b0040,4
b0041,2
b0042,1
b0043,2
b0044,4
b0045,3
b0046,1
b0047,5
b0048,5
b0049,3
b0050,4
b0051,3
b0052,4
b0053,3
b0054,3
b0055,4
b0056,2
b0057,1
b0058,4
b0059,4
b0060,5
b0061,3
b0062,4
b0063,3
b0064,2
b0065,1
b0066,1
b0067,1
b0068,1
b0069,3
b0070,4
b0071,4
b0072,1
b0073,4
b0074,2
b0075,2
b0076,5
b0077,2
b0078,5
b0079,5
b0080,2
b0081,2
b0082,2
b0083,1
b0084,1
b0085,3
b0086,1
b0087,1
b0088,4
b0089,2
b0090,2
b0091,3
b0092,1
b0093,4
b0094,4
b0095,3
b0096,4
b0097,5
b0098,2
b0099,5
b0100,2
