学籍番号,成績
b0001,良
b0002,不可
b0003,優
b0004,不可
b0005,良
b0006,不可
b0007,良
b0008,不可
b0009,優
b0010,可
b0011,不可
b0012,秀
b0013,秀
b0014,不可
b0015,優
b0016,可
b0017,秀
b0018,可
b0019,秀
b0020,可
b0021,優
b0022,優
b0023,可
b0024,秀
b0025,秀
b0026,秀
b0027,不可
b0028,可
b0029,不可
b0030,良
b0031,不可
b0032,優
b0033,優
b0034,良
b0035,秀
b0036,秀
b0037,可
b0038,可
b0039,良
b0040,秀
b0041,優
b0042,不可
b0043,可
b0044,秀
b0045,良
b0046,秀
b0047,良
b0048,可
b0049,良
b0050,良
b0051,可
b0052,良
b0053,秀
b0054,不可
b0055,優
b0056,秀
b0057,不可
b0058,可
b0059,可
b0060,優
b0061,不可
b0062,優
b0063,秀
b0064,可
b0065,良
b0066,秀
b0067,秀
b0068,良
b0069,秀
b0070,不可
b0071,可
b0072,良
b0073,良
b0074,不可
b0075,良
b0076,可
b0077,秀
b0078,優
b0079,秀
b0080,優
b0081,良
b0082,不可
b0083,良
b0084,優
b0085,良
b0086,可
b0087,不可
b0088,可
b0089,可
b0090,可
b0091,良
b0092,可
b0093,秀
b0094,優
b0095,不可
b0096,可
b0097,良
b0098,可
b0099,優
