学籍番号,満足度
b0001,2
b0002,1
b0003,1
b0004,3
b0005,3
b0006,3
b0007,1
b0008,1
b0009,4
b0010,5
b0011,4
b0012,1
b0013,2
b0014,5
b0015,2
b0016,4
b0017,2
b0018,4
b0019,3
b0020,5
b0021,4
b0022,5
b0023,2
b0024,1
b0025,2
b0026,3
b0027,1
b0028,5
b0029,3
b0030,2
b0031,3
b0032,4
b0033,4
b0034,3
b0035,3
b0036,2
b0037,2
b0038,4
b0039,4
b0040,3
b0041,4
b0042,5
b0043,1
b0044,1
b0045,1
b0046,4
b0047,5
b0048,4
b0049,2
b0050,2
b0051,3
b0052,4
b0053,2
b0054,2
b0055,2
b0056,4
b0057,4
b0058,1
b0059,4
b0060,4
b0061,3
b0062,3
b0063,3
b0064,3
b0065,3
b0066,4
b0067,1
b0068,1
b0069,5
b0070,2
b0071,3
b0072,4
b0073,4
b0074,3
b0075,1
b0076,2
b0077,5
b0078,4
b0079,1
b0080,4
b0081,3
b0082,5
b0083,3
b0084,1
b0085,1
b0086,2
b0087,3
b0088,1
b0089,5
b0090,1
b0091,4
b0092,4
b0093,1
b0094,3
b0095,4
b0096,1
b0097,2
b0098,2
b0099,5
b0100,5
