学籍番号,学科,GPA
b0001,情報学科,3.525
b0002,情報学科,3.5
b0003,化学科,2.876
b0004,化学科,1.672
b0005,情報学科,2.855
b0006,化学科,1.615
b0007,情報学科,1.852
b0008,情報学科,1.146
b0009,化学科,1.556
b0010,化学科,2.614
b0011,情報学科,1.588
b0012,化学科,2.804
b0013,化学科,2.617
b0014,化学科,2.116
b0015,情報学科,3.172
b0016,化学科,3.115
b0017,物理学科,0.727
b0018,物理学科,1.93
b0019,情報学科,1.554
b0020,化学科,3.948
b0021,情報学科,3.362
b0022,物理学科,3.908
b0023,化学科,3.661
b0024,化学科,3.611
b0025,情報学科,0.568
b0026,物理学科,1.767
b0027,物理学科,0.724
b0028,化学科,3.11
b0029,情報学科,3.128
b0030,物理学科,2.793
b0031,化学科,0.367
b0032,情報学科,1.188
b0033,物理学科,0.57
b0034,物理学科,1.656
b0035,化学科,3.664
b0036,物理学科,1.938
b0037,化学科,3.161
b0038,化学科,0.289
b0039,物理学科,2.12
b0040,物理学科,2.913
b0041,情報学科,3.127
b0042,情報学科,3.138
b0043,化学科,2.088
b0044,化学科,3.173
b0045,物理学科,2.168
b0046,情報学科,3.677
b0047,情報学科,1.676
b0048,物理学科,0.869
b0049,情報学科,2.713
b0050,情報学科,1.715
b0051,物理学科,1.69
b0052,化学科,0.384
b0053,物理学科,2.018
b0054,物理学科,1.931
b0055,化学科,2.371
b0056,物理学科,2.703
b0057,化学科,1.068
b0058,化学科,1.128
b0059,情報学科,1.128
b0060,情報学科,0.715
b0061,物理学科,2.186
b0062,情報学科,1.387
b0063,化学科,3.059
b0064,情報学科,0.557
b0065,情報学科,2.777
b0066,情報学科,3.125
b0067,情報学科,0.103
b0068,化学科,2.008
b0069,物理学科,1.014
b0070,情報学科,1.276
b0071,化学科,3.119
b0072,物理学科,1.52
b0073,情報学科,1.066
b0074,化学科,3.385
b0075,化学科,3.335
b0076,化学科,3.254
b0077,情報学科,2.821
b0078,情報学科,3.001
b0079,情報学科,0.504
b0080,物理学科,2.699
b0081,化学科,0.657
b0082,物理学科,1.159
b0083,情報学科,0.152
b0084,化学科,3.285
b0085,物理学科,1.427
b0086,情報学科,0.035
b0087,物理学科,1.748
b0088,化学科,1.133
b0089,物理学科,3.699
b0090,化学科,0.793
b0091,物理学科,3.418
b0092,情報学科,3.401
b0093,化学科,1.522
b0094,情報学科,3.912
b0095,化学科,3.292
b0096,物理学科,1.083
b0097,化学科,3.881
b0098,物理学科,1.649
b0099,情報学科,3.578
b0100,情報学科,2.331
